system:index,ID,kommune,.geo
16,15136.0,Vaksdal,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,968635.0,Sunndal,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,548872.0,Sandnes,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,338936.0,Porsanger,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,561107.0,Molde,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,155082.0,Lebesby,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,830356.0,Lom,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,202160.0,Aurland,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,752490.0,Valle,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,52722.0,Rennebu,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,750123.0,Tynset,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,85165.0,Loppa,"{""type"":""MultiPoint"",""coordinates"":[]}"
171,87444.0,Gamvik,"{""type"":""MultiPoint"",""coordinates"":[]}"
223,644901.0,Saltdal,"{""type"":""MultiPoint"",""coordinates"":[]}"
226,877865.0,Hol,"{""type"":""MultiPoint"",""coordinates"":[]}"
235,22554.0,Gloppen,"{""type"":""MultiPoint"",""coordinates"":[]}"
241,503548.0,Fitjar,"{""type"":""MultiPoint"",""coordinates"":[]}"
265,111399.0,Kvam,"{""type"":""MultiPoint"",""coordinates"":[]}"
298,730944.0,Snåsa,"{""type"":""MultiPoint"",""coordinates"":[]}"
301,709884.0,Storfjord,"{""type"":""MultiPoint"",""coordinates"":[]}"
354,190502.0,Berlevåg,"{""type"":""MultiPoint"",""coordinates"":[]}"
368,330612.0,Nordreisa,"{""type"":""MultiPoint"",""coordinates"":[]}"
379,354939.0,Hammerfest,"{""type"":""MultiPoint"",""coordinates"":[]}"
392,375010.0,Nordreisa,"{""type"":""MultiPoint"",""coordinates"":[]}"
393,761475.0,Askvoll,"{""type"":""MultiPoint"",""coordinates"":[]}"
404,860565.0,Valle,"{""type"":""MultiPoint"",""coordinates"":[]}"
415,319311.0,Suldal,"{""type"":""MultiPoint"",""coordinates"":[]}"
465,553758.0,Lesja,"{""type"":""MultiPoint"",""coordinates"":[]}"
470,13866.0,Namsos,"{""type"":""MultiPoint"",""coordinates"":[]}"
506,715508.0,Gamvik,"{""type"":""MultiPoint"",""coordinates"":[]}"
532,727782.0,Tana,"{""type"":""MultiPoint"",""coordinates"":[]}"
553,924652.0,Ringsaker,"{""type"":""MultiPoint"",""coordinates"":[]}"
557,150043.0,Levanger,"{""type"":""MultiPoint"",""coordinates"":[]}"
558,7222.0,Bardu,"{""type"":""MultiPoint"",""coordinates"":[]}"
565,307839.0,Røros,"{""type"":""MultiPoint"",""coordinates"":[]}"
574,530064.0,Vefsn,"{""type"":""MultiPoint"",""coordinates"":[]}"
599,746978.0,Ålesund,"{""type"":""MultiPoint"",""coordinates"":[]}"
622,852238.0,Tynset,"{""type"":""MultiPoint"",""coordinates"":[]}"
623,670882.0,Sunndal,"{""type"":""MultiPoint"",""coordinates"":[]}"
669,133051.0,Luster,"{""type"":""MultiPoint"",""coordinates"":[]}"
676,267086.0,Osen,"{""type"":""MultiPoint"",""coordinates"":[]}"
725,281103.0,Lebesby,"{""type"":""MultiPoint"",""coordinates"":[]}"
741,80395.0,Hol,"{""type"":""MultiPoint"",""coordinates"":[]}"
751,546341.0,Hemsedal,"{""type"":""MultiPoint"",""coordinates"":[]}"
771,430852.0,Høylandet,"{""type"":""MultiPoint"",""coordinates"":[]}"
782,667734.0,Tana,"{""type"":""MultiPoint"",""coordinates"":[]}"
783,504660.0,Høylandet,"{""type"":""MultiPoint"",""coordinates"":[]}"
811,774591.0,Tromsø,"{""type"":""MultiPoint"",""coordinates"":[]}"
821,897181.0,Kåfjord,"{""type"":""MultiPoint"",""coordinates"":[]}"
828,189217.0,Porsanger,"{""type"":""MultiPoint"",""coordinates"":[]}"
874,431959.0,Stryn,"{""type"":""MultiPoint"",""coordinates"":[]}"
894,678527.0,Sunndal,"{""type"":""MultiPoint"",""coordinates"":[]}"
907,988294.0,Voss,"{""type"":""MultiPoint"",""coordinates"":[]}"
912,179790.0,Båtsfjord,"{""type"":""MultiPoint"",""coordinates"":[]}"
937,11695.0,Vadsø,"{""type"":""MultiPoint"",""coordinates"":[]}"
943,13929.0,Åfjord,"{""type"":""MultiPoint"",""coordinates"":[]}"
950,873353.0,Rana,"{""type"":""MultiPoint"",""coordinates"":[]}"
971,914523.0,Måsøy,"{""type"":""MultiPoint"",""coordinates"":[]}"
984,663256.0,Vardø,"{""type"":""MultiPoint"",""coordinates"":[]}"
999,362951.0,Båtsfjord,"{""type"":""MultiPoint"",""coordinates"":[]}"
1001,129304.0,Ørsta,"{""type"":""MultiPoint"",""coordinates"":[]}"
1008,300426.0,Etne,"{""type"":""MultiPoint"",""coordinates"":[]}"
1027,876101.0,Porsanger,"{""type"":""MultiPoint"",""coordinates"":[]}"
1080,241315.0,Flatanger,"{""type"":""MultiPoint"",""coordinates"":[]}"
1096,415837.0,Berlevåg,"{""type"":""MultiPoint"",""coordinates"":[]}"
1105,586592.0,Holtålen,"{""type"":""MultiPoint"",""coordinates"":[]}"
1132,722530.0,Oppdal,"{""type"":""MultiPoint"",""coordinates"":[]}"
1153,909540.0,Åfjord,"{""type"":""MultiPoint"",""coordinates"":[]}"
1159,866902.0,Tolga,"{""type"":""MultiPoint"",""coordinates"":[]}"
1171,115875.0,Narvik,"{""type"":""MultiPoint"",""coordinates"":[]}"
1191,367401.0,Flekkefjord,"{""type"":""MultiPoint"",""coordinates"":[]}"
1208,635822.0,Tysnes,"{""type"":""MultiPoint"",""coordinates"":[]}"
1235,336792.0,Lebesby,"{""type"":""MultiPoint"",""coordinates"":[]}"
1266,20200.0,Skjåk,"{""type"":""MultiPoint"",""coordinates"":[]}"
1274,345577.0,Narvik,"{""type"":""MultiPoint"",""coordinates"":[]}"
1290,624362.0,Nordkapp,"{""type"":""MultiPoint"",""coordinates"":[]}"
1324,619495.0,Dovre,"{""type"":""MultiPoint"",""coordinates"":[]}"
1329,268008.0,Hammerfest,"{""type"":""MultiPoint"",""coordinates"":[]}"
1345,446865.0,Tynset,"{""type"":""MultiPoint"",""coordinates"":[]}"
1408,116087.0,Hadsel,"{""type"":""MultiPoint"",""coordinates"":[]}"
1409,786946.0,Porsanger,"{""type"":""MultiPoint"",""coordinates"":[]}"
1417,148032.0,Lierne,"{""type"":""MultiPoint"",""coordinates"":[]}"
1418,49702.0,Grane,"{""type"":""MultiPoint"",""coordinates"":[]}"
1431,201220.0,Sør-Fron,"{""type"":""MultiPoint"",""coordinates"":[]}"
1435,789101.0,Kvænangen,"{""type"":""MultiPoint"",""coordinates"":[]}"
1446,833736.0,Stor-Elvdal,"{""type"":""MultiPoint"",""coordinates"":[]}"
1451,230082.0,Lom,"{""type"":""MultiPoint"",""coordinates"":[]}"
1455,933703.0,Grong,"{""type"":""MultiPoint"",""coordinates"":[]}"
1467,714883.0,Karasjok,"{""type"":""MultiPoint"",""coordinates"":[]}"
1524,135655.0,Fauske,"{""type"":""MultiPoint"",""coordinates"":[]}"
1584,667820.0,Luster,"{""type"":""MultiPoint"",""coordinates"":[]}"
1586,263591.0,Oppdal,"{""type"":""MultiPoint"",""coordinates"":[]}"
1626,815379.0,Røros,"{""type"":""MultiPoint"",""coordinates"":[]}"
1664,308903.0,Luster,"{""type"":""MultiPoint"",""coordinates"":[]}"
1670,478010.0,Vardø,"{""type"":""MultiPoint"",""coordinates"":[]}"
1676,231016.0,Vefsn,"{""type"":""MultiPoint"",""coordinates"":[]}"
1688,753747.0,Kautokeino,"{""type"":""MultiPoint"",""coordinates"":[]}"
1706,981264.0,Oppdal,"{""type"":""MultiPoint"",""coordinates"":[]}"
1716,24703.0,Tinn,"{""type"":""MultiPoint"",""coordinates"":[]}"
1749,317793.0,Hemsedal,"{""type"":""MultiPoint"",""coordinates"":[]}"
1758,887632.0,Karasjok,"{""type"":""MultiPoint"",""coordinates"":[]}"
1772,93779.0,Lund,"{""type"":""MultiPoint"",""coordinates"":[]}"
1775,91977.0,Lærdal,"{""type"":""MultiPoint"",""coordinates"":[]}"
1796,738092.0,Voss,"{""type"":""MultiPoint"",""coordinates"":[]}"
1804,439992.0,Andøy,"{""type"":""MultiPoint"",""coordinates"":[]}"
1806,773242.0,Tynset,"{""type"":""MultiPoint"",""coordinates"":[]}"
1810,101072.0,Skjåk,"{""type"":""MultiPoint"",""coordinates"":[]}"
1820,144320.0,Ørsta,"{""type"":""MultiPoint"",""coordinates"":[]}"
1823,148872.0,Storfjord,"{""type"":""MultiPoint"",""coordinates"":[]}"
1850,475778.0,Surnadal,"{""type"":""MultiPoint"",""coordinates"":[]}"
1868,2048.0,Alta,"{""type"":""MultiPoint"",""coordinates"":[]}"
1881,886316.0,Rendalen,"{""type"":""MultiPoint"",""coordinates"":[]}"
1882,396780.0,Nordreisa,"{""type"":""MultiPoint"",""coordinates"":[]}"
1899,167454.0,Namsskogan,"{""type"":""MultiPoint"",""coordinates"":[]}"
1902,17534.0,Vadsø,"{""type"":""MultiPoint"",""coordinates"":[]}"
1904,405248.0,Sogndal,"{""type"":""MultiPoint"",""coordinates"":[]}"
1919,160691.0,Kautokeino,"{""type"":""MultiPoint"",""coordinates"":[]}"
1940,733232.0,Ullensvang,"{""type"":""MultiPoint"",""coordinates"":[]}"
1947,708888.0,Porsanger,"{""type"":""MultiPoint"",""coordinates"":[]}"
1950,382705.0,Tynset,"{""type"":""MultiPoint"",""coordinates"":[]}"
1995,701685.0,Tana,"{""type"":""MultiPoint"",""coordinates"":[]}"
2006,572729.0,Lærdal,"{""type"":""MultiPoint"",""coordinates"":[]}"
2027,147653.0,Narvik,"{""type"":""MultiPoint"",""coordinates"":[]}"
2038,744938.0,Tynset,"{""type"":""MultiPoint"",""coordinates"":[]}"
2045,877997.0,Berlevåg,"{""type"":""MultiPoint"",""coordinates"":[]}"
2048,805004.0,Sandnes,"{""type"":""MultiPoint"",""coordinates"":[]}"
2055,448809.0,Lebesby,"{""type"":""MultiPoint"",""coordinates"":[]}"
2058,619023.0,Vik,"{""type"":""MultiPoint"",""coordinates"":[]}"
2079,790566.0,Sirdal,"{""type"":""MultiPoint"",""coordinates"":[]}"
2093,370198.0,Hattfjelldal,"{""type"":""MultiPoint"",""coordinates"":[]}"
2099,604551.0,Alta,"{""type"":""MultiPoint"",""coordinates"":[]}"
2132,567577.0,Porsanger,"{""type"":""MultiPoint"",""coordinates"":[]}"
2145,62241.0,Tolga,"{""type"":""MultiPoint"",""coordinates"":[]}"
2165,420551.0,Vinje,"{""type"":""MultiPoint"",""coordinates"":[]}"
2180,553238.0,Lavangen,"{""type"":""MultiPoint"",""coordinates"":[]}"
2188,328566.0,Vefsn,"{""type"":""MultiPoint"",""coordinates"":[]}"
2197,693014.0,Kautokeino,"{""type"":""MultiPoint"",""coordinates"":[]}"
2206,382520.0,Gratangen,"{""type"":""MultiPoint"",""coordinates"":[]}"
2208,64423.0,Hamarøy,"{""type"":""MultiPoint"",""coordinates"":[]}"
2225,451427.0,Namsskogan,"{""type"":""MultiPoint"",""coordinates"":[]}"
2239,166128.0,Bygland,"{""type"":""MultiPoint"",""coordinates"":[]}"
2272,219330.0,Sauda,"{""type"":""MultiPoint"",""coordinates"":[]}"
2293,741665.0,Lødingen,"{""type"":""MultiPoint"",""coordinates"":[]}"
2368,745353.0,Hadsel,"{""type"":""MultiPoint"",""coordinates"":[]}"
2380,30712.0,Sel,"{""type"":""MultiPoint"",""coordinates"":[]}"
2391,495300.0,Storfjord,"{""type"":""MultiPoint"",""coordinates"":[]}"
