"","OBJECTID","SSBID","ANOID","RSIZE","ROW","COL","XCOOR","YCOOR","ANONUM","PakkeNr","Overvåkingsår","CountyNr","MunicNr","CountyName","Region.x","RegionNr","Kommune_OLD","Kommune","Fylke","Region.y","refs_blabar"
"1",818,20940006559500,"ANO0003",500,402,283,94250,6559750,3,5,2019,9,4220,"Aust-Agder nor","S",4,938,"BYGLAND","Aust-Agder","Sørlandet",12.5
"2",601,23435007081000,"ANO0006",500,901,1326,343750,7081250,6,5,2019,50,5038,"Trøndelag nor","C",2,1721,"VERDAL","Nord-Trøndelag","Midt-Norge",12.5
"3",751,21145006491000,"ANO0007",500,443,146,114750,6491250,7,5,2019,9,4202,"Aust-Agder nor","S",4,904,"GRIMSTAD","Aust-Agder","Sørlandet",12.5
"4",381,22135007017000,"ANO0010",500,641,1198,213750,7017250,10,5,2019,15,5061,"Møre og Romsdal  nor","C",2,1567,"RINDAL","Møre_og_Romsdal","Midt-Norge",12.5
"5",463,20485006950500,"ANO0016",500,311,1065,48750,6950750,16,5,2019,15,1531,"Møre og Romsdal  nor","C",2,1531,"SULA","Møre_og_Romsdal","Midt-Norge",12.5
"6",777,23275006736000,"ANO0019",500,869,636,327750,6736250,19,5,2019,4,3419,"Hedmark nor","E",5,426,"VÅLER_H","Hedmark","Østlandet",12.5
"7",472,19875006550500,"ANO0020",500,189,265,-12250,6550750,20,5,2019,11,1122,"Rogaland nor","W",3,1122,"GJESDAL","Rogaland","Vestlandet",12.5
"8",835,21010006675500,"ANO0022",500,416,515,101250,6675750,22,5,2019,8,3825,"Telemark nor","S",4,834,"VINJE","Telemark","Sørlandet",10
"9",978,21680006567500,"ANO0034",500,550,299,168250,6567750,34,5,2019,8,3815,"Telemark nor","S",4,817,"DRANGEDAL","Telemark","Sørlandet",12.5
"10",91,24130007344500,"ANO0040",500,1040,1853,413250,7344750,40,5,2019,18,1828,"Nordland nor","N",1,1828,"NESNA","Nordland","Nord-Norge",10
"11",540,19645006689500,"ANO0041",500,143,543,-35250,6689750,41,5,2019,12,4616,"Hordaland nor","W",3,1223,"TYSNES","Hordaland","Vestlandet",12.5
"12",752,22700006726500,"ANO0052",500,754,617,270250,6726750,52,5,2019,5,3442,"Oppland nor","E",5,528,"ØSTRE_TOTEN","Oppland","Østlandet",12.5
"13",831,20765006676000,"ANO0055",500,367,516,76750,6676250,55,5,2019,8,3825,"Telemark nor","S",4,834,"VINJE","Telemark","Sørlandet",10
"14",892,22690006713000,"ANO0057",500,752,590,269250,6713250,57,5,2019,5,3442,"Oppland nor","E",5,528,"ØSTRE_TOTEN","Oppland","Østlandet",12.5
"15",520,24235007158000,"ANO0058",500,1061,1480,423750,7158250,58,5,2019,50,5042,"Trøndelag nor","C",2,1738,"LIERNE","Nord-Trøndelag","Midt-Norge",12.5
"16",839,21345006679000,"ANO0065",500,483,522,134750,6679250,65,5,2019,8,3818,"Telemark nor","S",4,826,"TINN","Telemark","Sørlandet",10
"17",947,22925006647000,"ANO0066",500,799,458,292750,6647250,66,5,2019,2,3030,"Akershus nor","E",5,226,"SØRUM","Akershus","Østlandet",12.5
"18",947,22925006647000,"ANO0066",500,799,458,292750,6647250,66,5,2019,2,3030,"Akershus nor","E",5,227,"FET","Akershus","Østlandet",12.5
"19",947,22925006647000,"ANO0066",500,799,458,292750,6647250,66,5,2019,2,3030,"Akershus nor","E",5,231,"SKEDSMO","Akershus","Østlandet",12.5
"20",450,19845006532000,"ANO0070",500,183,228,-15250,6532250,70,5,2019,11,1114,"Rogaland nor","W",3,1114,"BJERKREIM","Rogaland","Vestlandet",12.5
"21",850,21360006686500,"ANO0074",500,486,537,136250,6686750,74,5,2019,8,3818,"Telemark nor","S",4,826,"TINN","Telemark","Sørlandet",10
"22",194,26065007680500,"ANO0075",500,1427,2525,606750,7680750,75,5,2019,19,5421,"Troms nor 1","N",1,1927,"TRANØY","Troms","Nord-Norge",5
"23",194,26065007680500,"ANO0075",500,1427,2525,606750,7680750,75,5,2019,19,5421,"Troms nor 1","N",1,1928,"TORSKEN","Troms","Nord-Norge",5
"24",194,26065007680500,"ANO0075",500,1427,2525,606750,7680750,75,5,2019,19,5421,"Troms nor 1","N",1,1929,"BERG","Troms","Nord-Norge",5
"25",194,26065007680500,"ANO0075",500,1427,2525,606750,7680750,75,5,2019,19,5421,"Troms nor 1","N",1,1931,"LENVIK","Troms","Nord-Norge",5
"26",97,24730007349000,"ANO0076",500,1160,1862,473250,7349250,76,5,2019,18,1833,"Nordland nor","N",1,1833,"RANA","Nordland","Nord-Norge",10
"27",478,19800006553500,"ANO0080",500,174,271,-19750,6553750,80,5,2019,11,1122,"Rogaland nor","W",3,1122,"GJESDAL","Rogaland","Vestlandet",12.5
"28",889,21105006711500,"ANO0081",500,435,587,110750,6711750,81,5,2019,6,3052,"Buskerud nor","E",5,633,"NORE_OG_UVDAL","Buskerud","Østlandet",10
"29",721,21820006614000,"ANO0083",500,578,392,182250,6614250,83,5,2019,8,3808,"Telemark nor","S",4,807,"NOTODDEN","Telemark","Sørlandet",12.5
"30",729,22505006718000,"ANO0084",500,715,600,250750,6718250,84,5,2019,5,3446,"Oppland nor","E",5,534,"GRAN","Oppland","Østlandet",12.5
"31",591,22540007070000,"ANO0085",500,722,1304,254250,7070250,85,5,2019,50,5054,"Trøndelag nor","C",2,1624,"RISSA","Sør-Trøndelag","Midt-Norge",12.5
"32",591,22540007070000,"ANO0085",500,722,1304,254250,7070250,85,5,2019,50,5054,"Trøndelag nor","C",2,1718,"LEKSVIK","Nord-Trøndelag","Midt-Norge",12.5
"33",432,20945006731000,"ANO0086",500,403,626,94750,6731250,86,5,2019,12,4619,"Hordaland nor","W",3,1232,"EIDFJORD","Hordaland","Vestlandet",12.5
"34",286,30230007855500,"ANO0091",500,2260,2875,1023250,7855750,91,5,2019,20,5442,"Finnmark nor 1","N",1,2027,"UNJARGGA_NESSEBY","Finnmark","Nord-Norge",2.5
"35",660,19890006662500,"ANO0099",500,192,489,-10750,6662750,99,5,2019,12,4617,"Hordaland nor","W",3,1224,"KVINNHERAD","Hordaland","Vestlandet",12.5
"36",375,21955007014000,"ANO0100",500,605,1192,195750,7014250,100,5,2019,15,1566,"Møre og Romsdal  nor","C",2,1566,"SURNADAL","Møre_og_Romsdal","Midt-Norge",12.5
"37",287,30640007855500,"ANO0103",500,2342,2875,1064250,7855750,103,5,2019,20,5405,"Finnmark nor 1","N",1,2003,"VADSØ","Finnmark","Nord-Norge",2.5
"38",919,22400006818000,"ANO0108",500,694,800,240250,6818250,108,5,2019,5,3439,"Oppland nor","E",5,520,"RINGEBU","Oppland","Østlandet",10
"39",576,23340007054000,"ANO0111",500,882,1272,334250,7054250,111,5,2019,50,5035,"Trøndelag nor","C",2,1714,"STJØRDAL","Nord-Trøndelag","Midt-Norge",12.5
"40",809,22405006760000,"ANO0114",500,695,684,240750,6760250,114,5,2019,5,3448,"Oppland nor","E",5,538,"NORDRE_LAND","Oppland","Østlandet",12.5
"41",505,20050006666000,"ANO0115",500,224,496,5250,6666250,115,5,2019,12,4611,"Hordaland nor","W",3,1211,"ETNE","Hordaland","Vestlandet",12.5
"42",212,23920007254000,"ANO0116",500,998,1672,392250,7254250,116,5,2019,18,1813,"Nordland nor","N",1,1813,"BRØNNØY","Nordland","Nord-Norge",10
"43",754,22515006924000,"ANO0119",500,717,1012,251750,6924250,119,5,2019,4,3429,"Hedmark nor","E",5,439,"FOLLDAL","Hedmark","Østlandet",10
"44",466,20750006748500,"ANO0120",500,364,661,75250,6748750,120,5,2019,12,4620,"Hordaland nor","W",3,1233,"ULVIK","Hordaland","Vestlandet",12.5
"45",844,23580006685500,"ANO0124",500,930,535,358250,6685750,124,5,2019,4,3401,"Hedmark nor","E",5,402,"KONGSVINGER","Hedmark","Østlandet",12.5
"46",190,26625007679000,"ANO0128",500,1539,2522,662750,7679250,128,5,2019,19,5422,"Troms nor 1","N",1,1933,"BALSFJORD","Troms","Nord-Norge",5
"47",792,20810006540500,"ANO0131",500,376,245,81250,6540750,131,5,2019,9,4220,"Aust-Agder nor","S",4,938,"BYGLAND","Aust-Agder","Sørlandet",12.5
"48",678,20235006772000,"ANO0134",500,261,708,23750,6772250,134,5,2019,12,4621,"Hordaland nor","W",3,1234,"GRANVIN","Hordaland","Vestlandet",12.5
"49",678,20235006772000,"ANO0134",500,261,708,23750,6772250,134,5,2019,12,4621,"Hordaland nor","W",3,1235,"VOSS","Hordaland","Vestlandet",12.5
"50",193,25970007680500,"ANO0135",500,1408,2525,597250,7680750,135,5,2019,19,5421,"Troms nor 1","N",1,1927,"TRANØY","Troms","Nord-Norge",5
"51",193,25970007680500,"ANO0135",500,1408,2525,597250,7680750,135,5,2019,19,5421,"Troms nor 1","N",1,1928,"TORSKEN","Troms","Nord-Norge",5
"52",193,25970007680500,"ANO0135",500,1408,2525,597250,7680750,135,5,2019,19,5421,"Troms nor 1","N",1,1929,"BERG","Troms","Nord-Norge",5
"53",193,25970007680500,"ANO0135",500,1408,2525,597250,7680750,135,5,2019,19,5421,"Troms nor 1","N",1,1931,"LENVIK","Troms","Nord-Norge",5
"54",18,27980007803500,"ANO0144",500,1810,2771,798250,7803750,144,5,2019,20,5403,"Finnmark nor 1","N",1,2012,"ALTA","Finnmark","Nord-Norge",2.5
"55",544,24025007184500,"ANO0145",500,1019,1533,402750,7184750,145,5,2019,50,5044,"Trøndelag nor","C",2,1740,"NAMSSKOGAN","Nord-Trøndelag","Midt-Norge",12.5
"56",465,19900006751000,"ANO0146",500,194,666,-9750,6751250,146,5,2019,12,4628,"Hordaland nor","W",3,1251,"VAKSDAL","Hordaland","Vestlandet",12.5
"57",171,25770007667500,"ANO0152",500,1368,2499,577250,7667750,152,5,2019,19,5421,"Troms nor 1","N",1,1927,"TRANØY","Troms","Nord-Norge",5
"58",171,25770007667500,"ANO0152",500,1368,2499,577250,7667750,152,5,2019,19,5421,"Troms nor 1","N",1,1928,"TORSKEN","Troms","Nord-Norge",5
"59",171,25770007667500,"ANO0152",500,1368,2499,577250,7667750,152,5,2019,19,5421,"Troms nor 1","N",1,1929,"BERG","Troms","Nord-Norge",5
"60",171,25770007667500,"ANO0152",500,1368,2499,577250,7667750,152,5,2019,19,5421,"Troms nor 1","N",1,1931,"LENVIK","Troms","Nord-Norge",5
"61",416,19875006716500,"ANO0155",500,189,597,-12250,6716750,155,5,2019,12,4624,"Hordaland nor","W",3,1241,"FUSA","Hordaland","Vestlandet",12.5
"62",416,19875006716500,"ANO0155",500,189,597,-12250,6716750,155,5,2019,12,4624,"Hordaland nor","W",3,1243,"OS_(HORDALAND)","Hordaland","Vestlandet",12.5
"63",320,30830007873500,"ANO0156",500,2380,2911,1083250,7873750,156,5,2019,20,5404,"Finnmark nor 1","N",1,2002,"VARDØ","Finnmark","Nord-Norge",2.5
"64",19,27450007803500,"ANO0160",500,1704,2771,745250,7803750,160,5,2019,20,5432,"Finnmark nor 1","N",1,2014,"LOPPA","Finnmark","Nord-Norge",2.5
"65",927,23100006633000,"ANO0163",500,834,430,310250,6633250,163,5,2019,2,3026,"Akershus nor","E",5,121,"RØMSKOG","Østfold","Østlandet",12.5
"66",927,23100006633000,"ANO0163",500,834,430,310250,6633250,163,5,2019,2,3026,"Akershus nor","E",5,221,"AURSKOG_HØLAND","Akershus","Østlandet",12.5
"67",592,22435007070000,"ANO0166",500,701,1304,243750,7070250,166,5,2019,50,5054,"Trøndelag nor","C",2,1624,"RISSA","Sør-Trøndelag","Midt-Norge",12.5
"68",592,22435007070000,"ANO0166",500,701,1304,243750,7070250,166,5,2019,50,5054,"Trøndelag nor","C",2,1718,"LEKSVIK","Nord-Trøndelag","Midt-Norge",12.5
"69",779,21255006741000,"ANO0172",500,465,646,125750,6741250,172,5,2019,6,3044,"Buskerud nor","E",5,620,"HOL","Buskerud","Østlandet",10
"70",271,30430007849500,"ANO0177",500,2300,2863,1043250,7849750,177,5,2019,20,5405,"Finnmark nor 1","N",1,2003,"VADSØ","Finnmark","Nord-Norge",2.5
"71",484,20355006959000,"ANO0178",500,285,1082,35750,6959250,178,5,2019,15,1532,"Møre og Romsdal  nor","C",2,1532,"GISKE","Møre_og_Romsdal","Midt-Norge",12.5
"72",473,19850006751500,"ANO0180",500,184,667,-14750,6751750,180,5,2019,12,4630,"Hordaland nor","W",3,1253,"OSTERØY","Hordaland","Vestlandet",12.5
"73",430,20950006931000,"ANO0181",500,404,1026,95250,6931250,181,5,2019,15,1578,"Møre og Romsdal  nor","C",2,1524,"NORDDAL","Møre_og_Romsdal","Midt-Norge",12.5
"74",430,20950006931000,"ANO0181",500,404,1026,95250,6931250,181,5,2019,15,1578,"Møre og Romsdal  nor","C",2,1526,"STORDAL","Møre_og_Romsdal","Midt-Norge",12.5
"75",733,21200006717000,"ANO0184",500,454,598,120250,6717250,184,5,2019,6,3044,"Buskerud nor","E",5,620,"HOL","Buskerud","Østlandet",10
"76",133,27850007761500,"ANO0185",500,1784,2687,785250,7761750,185,5,2019,19,5429,"Troms nor 1","N",1,1943,"KVÆNANGEN","Troms","Nord-Norge",5
"77",742,22565006916500,"ANO0191",500,727,997,256750,6916750,191,5,2019,4,3427,"Hedmark nor","E",5,437,"TYNSET","Hedmark","Østlandet",10
"78",101,24635007351500,"ANO0283",500,1141,1867,463750,7351750,283,5,2019,18,1833,"Nordland nor","N",1,1833,"RANA","Nordland","Nord-Norge",10
"79",107,24550007367500,"ANO0911",500,1124,1899,455250,7367750,911,5,2019,18,1833,"Nordland nor","N",1,1833,"RANA","Nordland","Nord-Norge",10
"80",862,22285006894500,"ANO0008",500,671,953,228750,6894750,8,3,2020,5,3431,"Oppland nor","E",5,511,"DOVRE","Oppland","Østlandet",10
"81",503,23240007141500,"ANO0014",500,862,1447,324250,7141750,14,2,2020,50,5007,"Trøndelag nor","C",2,1703,"NAMSOS","Nord-Trøndelag","Midt-Norge",12.5
"82",503,23240007141500,"ANO0014",500,862,1447,324250,7141750,14,2,2020,50,5007,"Trøndelag nor","C",2,1725,"NAMDALSEID","Nord-Trøndelag","Midt-Norge",12.5
"83",503,23240007141500,"ANO0014",500,862,1447,324250,7141750,14,2,2020,50,5007,"Trøndelag nor","C",2,1748,"FOSNES","Nord-Trøndelag","Midt-Norge",12.5
"84",328,26825007765000,"ANO0018",500,1579,2694,682750,7765250,18,1,2020,19,5423,"Troms nor 1","N",1,1936,"KARLSØY","Troms","Nord-Norge",5
"85",943,23070006832500,"ANO0051",500,828,829,307250,6832750,51,3,2020,4,3424,"Hedmark nor","E",5,432,"RENDALEN","Hedmark","Østlandet",10
"86",558,20710006890500,"ANO0072",500,356,945,71250,6890750,72,2,2020,14,4651,"Sogn og Fjordane  nor","W",3,1449,"STRYN","Sogn_og_Fjordane","Vestlandet",12.5
"87",373,21605007013000,"ANO0073",500,535,1190,160750,7013250,73,2,2020,15,5055,"Møre og Romsdal  nor","C",2,1571,"HALSA","Møre_og_Romsdal","Midt-Norge",12.5
"88",373,21605007013000,"ANO0073",500,535,1190,160750,7013250,73,2,2020,15,5055,"Møre og Romsdal  nor","C",2,1612,"HEMNE","Sør-Trøndelag","Midt-Norge",12.5
"89",373,21605007013000,"ANO0073",500,535,1190,160750,7013250,73,2,2020,15,5055,"Møre og Romsdal  nor","C",2,1613,"SNILLFJORD","Sør-Trøndelag","Midt-Norge",12.5
