Id	name	navn	TaxonId	mcat	cat	IntroSpread	frq	abun	timing	comm
FA3/N/2893	Abies amabilis	stillehavsedelgran	105142	escape	botanicalGardenZooAquarium	introduction	severalPr10years	unknown	ongoing	Arboret her oppfattet som botanisk hage.
FA3/N/16	Abies balsamea	balsamedelgran	129967	unaided	naturalDispersalAcrossBorders	spread	yearly	unknown	ongoing	Se Nedkvitne (1960).
FA3/N/16	Abies balsamea	balsamedelgran	129967	escape	forestry	introduction	yearly	unknown	ongoing	
FA3/N/16	Abies balsamea	balsamedelgran	129967	escape	horticulture	introduction	yearly	unknown	ongoing	
FA3/N/2894	Abies cephalonica	gresk edelgran	105143	escape	horticulture	introduction	severalPr10years	unknown	ongoing	
FA3/N/2894	Abies cephalonica	gresk edelgran	105143	escape	ornamentalPurposeOther	introduction	severalPr10years	unknown	ongoing	
FA3/N/165	Abies concolor	koloradoedelgran	63755	escape	forestry	introduction	rarerThan10years	unknown	ongoing	
FA3/N/165	Abies concolor	koloradoedelgran	63755	escape	horticulture	introduction	numerousYearly	unknown	ongoing	
FA3/N/165	Abies concolor	koloradoedelgran	63755	escape	ornamentalPurposeOther	introduction	numerousYearly	unknown	ongoing	
FA3/N/165	Abies concolor	koloradoedelgran	63755	unaided	naturalDispersalAcrossBorders	spread	severalPr10years	unknown	ongoing	
FA3/N/166	Abies grandis	kjempeedelgran	63756	escape	forestry	introduction	unknown	unknown	ongoing	
FA3/N/166	Abies grandis	kjempeedelgran	63756	escape	horticulture	introduction	severalPr10years	unknown	ongoing	
FA3/N/166	Abies grandis	kjempeedelgran	63756	escape	ornamentalPurposeOther	introduction	severalPr10years	unknown	ongoing	
FA3/N/2260	Abies koreana	koreansk edelgran	85577	escape	horticulture	introduction	severalPr10years	unknown	ongoing	
FA3/N/2260	Abies koreana	koreansk edelgran	85577	escape	ornamentalPurposeOther	introduction	severalPr10years	unknown	ongoing	
FA3/N/167	Abies lasiocarpa	fjelledelgran	129968	unaided	naturalDispersalAcrossBorders	spread	yearly	unknown	ongoing	
FA3/N/167	Abies lasiocarpa	fjelledelgran	129968	escape	forestry	introduction	yearly	unknown	ongoing	
FA3/N/167	Abies lasiocarpa	fjelledelgran	129968	escape	horticulture	introduction	severalPr10years	unknown	ongoing	
FA3/N/2895	Abies magnifica	praktedelgran	105146	escape	horticulture	introduction	rarerThan10years	unknown	ongoing	
FA3/N/168	Abies mariesii	mariesedelgran	84758	escape	forestry	introduction	rarerThan10years	unknown	ongoing	
FA3/N/169	Abies nordmanniana	nordmannsedelgran	63758	escape	forestry	introduction	severalPr10years	unknown	ongoing	
FA3/N/169	Abies nordmanniana	nordmannsedelgran	63758	escape	horticulture	introduction	rarerThan10years	unknown	ongoing	
FA3/N/169	Abies nordmanniana	nordmannsedelgran	63758	escape	ornamentalPurposeOther	introduction	rarerThan10years	unknown	ongoing	
FA3/N/169	Abies nordmanniana	nordmannsedelgran	63758	escape	botanicalGardenZooAquarium	introduction	rarerThan10years	unknown	ongoing	Her inkludert arboreter.
FA3/N/170	Abies procera	nobelgran	129969	escape	horticulture	introduction	severalPr10years	unknown	ongoing	
FA3/N/170	Abies procera	nobelgran	129969	escape	forestry	introduction	severalPr10years	unknown	ongoing	
