Scientific_name	Family	Svenskt_namn	Dyntaxa_ID_number	Establishment	Red-listed	Time_of_immigration	Index_of_invasive_concern	Biodiversity_relevance	Nectar_production	Heat_requirement	Cold_requirement	Temp_optimum	Continentality	Light	Moisture	Soil_reaction_pH	Nitrogen	Phosphorus	Salinity	Grazing_mowing	Soil_disturbance	Longevity	Pollinator_dependence	Phenology	Extreme_phenology	Seed_dormancy	Seed_bank	Seed_disperser	Nitrogen_fixation	Photosynthetic_pathway	Mycorrhiza	Carnivory	Parasitism
Abies alba Mill.	Pinaceae	silvergran	222135	Resident	Not Red-listed	5	14	5	1	10	3	5	3	2	5	5	5	3	1	1	1	4	0b			4		AirW	0	C3	EM	0	0
Abies grandis (Douglas ex D. Don) Lindl.	Pinaceae	kustgran	222138	Non-resident	Not Red-listed			5	1	10	4	6	4	3			5	3	1	1	1	4	0b			4		AirW	0	C3	EM	0	0
Acer campestre L.	Sapindaceae	naverlönn	5	Resident	CR	0	0	6	6	13	2	3	5	4	4	6	6	3	1	2	5	4	0c	6	3	4	1	AirW	0	C3	AM/EM	0	0
Acer negundo L.	Sapindaceae	asklönn	223314	Non-resident	Not Red-listed			2		10	3	5	7					3	1	2		4	0b			4		AirW	0	C3	AM/EM	0	0
Acer platanoides L.	Sapindaceae	skogslönn	223315	Resident	Not Red-listed	0	0	5	6	9	4	7	5	4	4	6	5	3	1	2	5	4	2	5	4	4	1	AirW	0	C3	AM/EM	0	0
Acer pseudoplatanus L.	Sapindaceae	tysklönn	223316	Resident	Not Red-listed	3	14,2	6	5	12	3	4	3	4	5	6	7	3	1	3	3	4	0c	6	3	4	1	AirW	0	C3	AM/EM	0	0
Acer tataricum L.	Sapindaceae	tatarlönn	223319	Non-resident	Not Red-listed			3	5	10	4	6	5				6	3	1	2		4	2			2		AirW	0	C3	AM/EM	0	0
Achillea crithmifolia Waldst. & Kit.	Asteraceae	kamröllika	219899	Resident	Not Red-listed	5	13,6	1	6	12			6	7	2	5	4	3	1	3		4	2			2		Passive	0	C3	AM	0	0
Achillea filipendulina Lam.	Asteraceae	praktröllika	219902	Resident	Not Red-listed	4	13,6	4	6	12	3	4	8	6	2	6	4	4	2	3		4	2	10	3	2		Passive	0	C3	AM	0	0
Achillea millefolium L.	Asteraceae	röllika	219906	Resident	Not Red-listed	0	0	6	6	3	3	9	5	6	2	5	5	5	2	5	2	4	2	8	1	2	3	Myr	0	C3	AM	0	0
Achillea ptarmica L.	Asteraceae	nysört	219909	Resident	Not Red-listed	0	0	5	6	4	3	8	4	5	6	4	4	3	1	4	2	4	2	9	2	2	2	Passive	0	C3	AM	0	0
Aconitum × stoerkianum Rchb.	Ranunculaceae	trädgårdsstormhatt	222767	Resident	Not Red-listed	3	10	2	6	7	4	8	5	5	7	5	6	3	1	3	3	4	0a	11	4	X		Passive	0	C3	AM	0	0
Aconitum lycoctonum L.	Ranunculaceae	vargstormhatt	219914	Resident	Not Red-listed	0	0	2	6	3	11	14	6	4	5	7	7	5	1	3	2	4	1b			4		Passive	0	C3	AM	0	0
Aconitum napellus L.	Ranunculaceae	äkta stormhatt	6	Resident	CR	1	4	3	6	9	3	6	4	5	7	6	6	4	1	3	3	4		11	4	3		Passive	0	C3	AM	0	0
Aconogonon × fennicum Reiersen	Polygonaceae	finnslide	220614	Non-resident	Not Red-listed			1	5	8	15	13	5	5	6	4	7	5	1	1		4	0c	9	2	X		Veg	0	C3	None	0	0
Aconogonon alpinum (All.) Schur	Polygonaceae	alpslide	222769	Resident	Not Red-listed	5	9,5	1	5	6	7	10	4	6	5	4	6	5	1	1		4						Passive	0	C3	None	0	0
Aconogonon divaricatum (L.) Nakai	Polygonaceae	vippslide	220615	Resident	Not Red-listed	5	11,3	1	5	8	1	7	8	6	6	4	6	5	1	1		4		11	4	2		Passive	0	C3	None	0	0
Aconogonon weyrichii (F. Schmidt ex Maxim.) H. Hara	Polygonaceae	gråslide	220616	Non-resident	Not Red-listed			1	5	8	7	9	7	5	6	4	7	5	1	1		4		8	1	X		Veg	0	C3	None	0	0
Acorus calamus L.	Acoraceae	kalmus	220617	Resident	Not Red-listed	1	4	1	2	10	1	3	5	5	10	5	7	5	1	3	1	4	0a	9	2	X		Veg	0	C3	AM	0	0
Actaea erythrocarpa (Fisch.) Kom.	Ranunculaceae	röd trolldruva	8	Resident	NT	0	0	1	2	4	12	14	9	3	6	7	6	3	1	1	3	4	1			3		Bird	0	C3	AM	0	0
Actaea rubra (Aiton) Willd.	Ranunculaceae	amerikansk trolldruva	222770	Resident	Not Red-listed	6	18,8	1	2	8	10	11	8	3	4	5	6	3	1	1	3	4	1			3		Bird	0	C3	AM	0	0
Actaea spicata L.	Ranunculaceae	svart trolldruva	222771	Resident	Not Red-listed	0	0	2	2	5	4	9	4	2	3	6	6	3	1	1	3	4	1	7	2	3	1	Bird	0	C3	AM	0	0
Adonis vernalis L.	Ranunculaceae	våradonis	9	Resident	NT	0	0	1	3	13	4	5	9	6	3	8	3	2	1	5		4	1	5	4	3	1	Myr	0	C3	AM	0	0
Adoxa moschatellina L.	Adoxaceae	desmeknopp	222776	Resident	NT	0	0	2	3	4	3	8	7	3	5	6	8	5	1	6	6	4	1	4	5		1	Bird	0	C3	AM	0	0
Aegopodium podagraria L.	Apiaceae	kirskål	222185	Resident	Not Red-listed	0	0	4	4	7	4	8	5	3	5	6	5	5	1	3	1	4	2	8	1	4	2	Passive	0	C3	AM	0	0
Aesculus hippocastanum L.	Sapindaceae	hästkastanj	223321	Resident	Not Red-listed	4	8	3	6	13	4	5	6	4	5	5	6	3	1	1	5	4	2	7	2	4	1	Bird	0	C3	AM	0	0
Aethusa cynapium L.	Apiaceae	vildpersilja	219619	Resident	Not Red-listed	0	0	2	4	10	4	6	5	5	3	7	8	5	2	3	8	2	0c	9	2	4	3	Passive	0	C3	AM	0	0
Agastache rugosa (Fisch. & C. A. Mey.) Kuntze	Lamiaceae	koreansk anisisop	221593	Non-resident	Not Red-listed			1	6	11	2	4	7	6	4		7	4	1	2		3	1a	11	4	3		Passive	0		AM	0	0
Agrimonia eupatoria L.	Rosaceae	småborre	219918	Resident	Not Red-listed	0	0	4	2	10	2	4	4	5	3	6	6	3	1	2	5	4	0c	11	4	3	2	Adh	0	C3	AM	0	0
Agrimonia procera Wallr.	Rosaceae	luktsmåborre	11	Resident	Not Red-listed	0	0	3	2	11	4	7	5	5	5	7	6	3	1	2	5	4	0c	11	4	3	2	Adh	0	C3	AM	0	0
Agrostemma githago L.	Caryophyllaceae	klätt	14	Resident	CR	0	0	2	4	9	2	5	7	6	3	5	5	5	1	1	9	1	1b	8	1	1	1	Passive	0	C3	None	0	0
Agrostis canina L.	Poaceae	brunven	222187	Resident	Not Red-listed	0	0	4	1	5	4	9	5	4	7	2	3	2	2	4	6	4	0b	11	4		3	Passive	0	C3	AM	0	0
Agrostis capillaris L.	Poaceae	rödven	222188	Resident	Not Red-listed	0	0	4	1	3	3	9	5	5	4	4	5	3	2	5	2	4	0b	10	3		4	Passive	0	C3	AM	0	0
Agrostis clavata Trin.	Poaceae	köseven	15	Resident	Not Red-listed	0	0	2	1	7	11	12	8	5	4	5	4	4	1	3	7	3	0b					Passive	0	C3	AM	0	0
Agrostis gigantea Roth	Poaceae	storven	222192	Resident	Not Red-listed	0	0	3	1	5	2	7	6	5	5	5	6	4	2	3	4	4	0b	11	4		2	Passive	0	C3	AM	0	0
Agrostis mertensii Trin.	Poaceae	fjällven	222194	Resident	Not Red-listed	0	0	3	1	2	12	15	6	6	6	4	4	4	1	6	5	4	0b				3	Passive	0	C3	AM	0	0
Agrostis scabra Willd.	Poaceae	kvarnven	222197	Resident	Not Red-listed	5	14	3	1	8	8	10	7	7	5	5	4	4	1	3	7		0b				2	Passive	0	C3	AM	0	0
