indikatorBeskrivelse;indikatorReferanseUid2;geografiskOmradeReferanseUid;nedreKonfidensIntervalGrense;tilstandsverdi;ovreKonfidensIntervalGrense;periodeStart;periodeSlutt
Fravær av fremmede arter;fravaer-fremmedre-arter;midt-norge-2020;0.988235294117647;1;1;2016;2020
Fravær av fremmede arter;fravaer-fremmedre-arter;ostlandet-2020;0.995394606540117;0.99791985906537;1;2016;2020
Fravær av fremmede arter;fravaer-fremmedre-arter;nord-norge-2020;0.997050505050505;0.998701573558716;0.999891156462585;2016;2020
Fravær av fremmede arter;fravaer-fremmedre-arter;hele-norge-2020;0.996747042170806;0.998911331636529;0.999635163457815;2016;2020
Fravær av fremmede arter;fravaer-fremmedre-arter;sorlandet-2020;1;1;1;2016;2020
Fravær av fremmede arter;fravaer-fremmedre-arter;vestlandet-2020;1;1;1;2016;2020
Areal av isbreer;breareal;midt-norge-2020;0.386376672115097;0.402748015125058;0.419924431724196;2016;2020
Areal av isbreer;breareal;ostlandet-2020;0.660499363466166;0.68815945618902;0.71687597538745;2016;2020
Areal av isbreer;breareal;nord-norge-2020;0.63245635688616;0.659156221063175;0.686541696922557;2016;2020
Areal av isbreer;breareal;hele-norge-2020;0.188143061776558;0.662382064846063;0.804799889279036;2016;2020
Areal av isbreer;breareal;sorlandet-2020;0.180539458081307;0.188043871320733;0.195921166067855;2016;2020
Areal av isbreer;breareal;vestlandet-2020;0.752583497650151;0.785205582857111;0.818418542122392;2016;2020
Ellenberg L (øvre);ellenberg-l-ovre;midt-norge-2020;0.970894100254002;0.973413557559591;0.975885370873063;2016;2020
Ellenberg L (øvre);ellenberg-l-ovre;ostlandet-2020;0.974707301859853;0.978740255555017;0.982249449232322;2016;2020
Ellenberg L (øvre);ellenberg-l-ovre;nord-norge-2020;0.967821206521966;0.97055075122524;0.973137097979554;2016;2020
Ellenberg L (øvre);ellenberg-l-ovre;hele-norge-2020;0.969430881647558;0.971367747698863;0.973223338082528;2016;2020
Ellenberg L (øvre);ellenberg-l-ovre;sorlandet-2020;0.975405761588029;0.980888142270023;0.986433196398931;2016;2020
Ellenberg L (øvre);ellenberg-l-ovre;vestlandet-2020;0.953374700718836;0.958764724970354;0.964547328673999;2016;2020
Ellenberg L (nedre);ellenberg-l-nedre;midt-norge-2020;0.954163116277112;0.969085487301528;0.980508674404438;2016;2020
Ellenberg L (nedre);ellenberg-l-nedre;ostlandet-2020;0.98003571362735;0.983877717595923;0.987176377946189;2016;2020
Ellenberg L (nedre);ellenberg-l-nedre;nord-norge-2020;0.980750605401584;0.984639510768051;0.98801843940363;2016;2020
Ellenberg L (nedre);ellenberg-l-nedre;hele-norge-2020;0.979229714886018;0.982436724437405;0.985078501602903;2016;2020
Ellenberg L (nedre);ellenberg-l-nedre;sorlandet-2020;0.953075986176912;0.988132003544678;0.98910831635742;2016;2020
Ellenberg L (nedre);ellenberg-l-nedre;vestlandet-2020;0.975615825173884;0.982832561063131;0.988536281203272;2016;2020
