egenskapReferanseUid;geografiskOmradeReferanseUid;nedreKonfidensIntervalGrense;aggregertTilstandsverdi;ovreKonfidensIntervalGrense;periodeStart;periodeSlutt;vekting
primaerproduksjon;midt-norge-2020;0.784958064345085;0.789209686034852;0.793587905705825;2016;2020;1
primaerproduksjon;nord-norge-2020;0.744041025408952;0.746507030326678;0.748933142828282;2016;2020;1
primaerproduksjon;vestlandet-2020;0.784470919557558;0.789387256822247;0.794320349858654;2016;2020;1
primaerproduksjon;sorlandet-2020;0.824909107151407;0.830781403612845;0.836658372874891;2016;2020;1
primaerproduksjon;ostlandet-2020;0.793289704869377;0.797303997732571;0.80122676585481;2016;2020;1
primaerproduksjon;hele-norge-2020;0.770159084786854;0.771902218604044;0.773694388375646;2016;2020;1
arter-og-biofysiske-strukturer;midt-norge-2020;0.517045082961723;0.555626531375105;0.593096944424764;2016;2020;1
arter-og-biofysiske-strukturer;nord-norge-2020;0.530941707545411;0.55477454110648;0.576636364009888;2016;2020;1
arter-og-biofysiske-strukturer;vestlandet-2020;0.506419633074898;0.55953046516827;0.622422142582961;2016;2020;1
arter-og-biofysiske-strukturer;sorlandet-2020;0.636426117680949;0.687060598008611;0.735224066936757;2016;2020;1
arter-og-biofysiske-strukturer;ostlandet-2020;0.566478975401619;0.595668009888014;0.626223418983208;2016;2020;1
arter-og-biofysiske-strukturer;hele-norge-2020;0.551703515789362;0.568761363146395;0.586510297446987;2016;2020;1
biomasse;midt-norge-2020;0.514399253342861;0.57252235310539;0.606415932484377;2016;2020;1
biomasse;nord-norge-2020;0.389704922140753;0.449350550688226;0.486579121481833;2016;2020;1
biomasse;vestlandet-2020;0.404149328381809;0.447149711569937;0.524634311532946;2016;2020;1
biomasse;sorlandet-2020;0.440131567535455;0.48151734832774;0.578286209528555;2016;2020;1
biomasse;ostlandet-2020;0.453253305048988;0.543028180112819;0.565057174085682;2016;2020;1
biomasse;hele-norge-2020;0.403173273976066;0.489014612466701;0.541332592154863;2016;2020;1
funksjonell-sammensetning;midt-norge-2020;0.471799377115288;0.540700307157504;0.581717856979666;2016;2020;1
funksjonell-sammensetning;nord-norge-2020;0.331817327062382;0.402664306076424;0.448985489040716;2016;2020;1
funksjonell-sammensetning;vestlandet-2020;0.34739292506805;0.39864141558463;0.487849427909727;2016;2020;1
funksjonell-sammensetning;sorlandet-2020;0.379632280953272;0.429686783660934;0.541194686751806;2016;2020;1
funksjonell-sammensetning;ostlandet-2020;0.402013012932166;0.503811557262753;0.534304603591246;2016;2020;1
funksjonell-sammensetning;hele-norge-2020;0.346556718811628;0.444779484604333;0.507672688129999;2016;2020;1
biologisk-mangfold;midt-norge-2020;0.62448597;0.6751153;0.72256325;2016;2020;1
biologisk-mangfold;nord-norge-2020;0.61788299;0.6647857;0.7115427;2016;2020;1
biologisk-mangfold;vestlandet-2020;0.5842127;0.6341728;0.6813783175;2016;2020;1
biologisk-mangfold;sorlandet-2020;0.554434;0.60722925;0.6589927;2016;2020;1
biologisk-mangfold;ostlandet-2020;0.579979;0.6292256;0.6771374;2016;2020;1
biologisk-mangfold;hele-norge-2020;0.6190086225;0.6525256;0.6846632;2016;2020;1
landskapsokologi;midt-norge-2020;0.774150759482779;0.774150759482779;0.774150759482779;2016;2020;1
landskapsokologi;nord-norge-2020;0.756975176819374;0.756975176819374;0.756975176819374;2016;2020;1
landskapsokologi;vestlandet-2020;0.5489438575766;0.5489438575766;0.5489438575766;2016;2020;1
landskapsokologi;sorlandet-2020;0.622109206365352;0.622109206365352;0.622109206365352;2016;2020;1
landskapsokologi;ostlandet-2020;0.61877604926035;0.61877604926035;0.61877604926035;2016;2020;1
landskapsokologi;hele-norge-2020;0.696685495331065;0.696685495331065;0.696685495331065;2016;2020;1
abiotiske-forhold;midt-norge-2020;0.792429036477819;0.831725547905966;0.855559803795142;2016;2020;1
abiotiske-forhold;nord-norge-2020;0.791918512844165;0.840345297306322;0.883530754860056;2016;2020;1
abiotiske-forhold;vestlandet-2020;0.840307932971174;0.868726165288511;0.893975719928627;2016;2020;1
abiotiske-forhold;sorlandet-2020;0.722831562912313;0.767861558329657;0.809511864873969;2016;2020;1
abiotiske-forhold;ostlandet-2020;0.794026955522221;0.837982368641671;0.868252855299382;2016;2020;1
abiotiske-forhold;hele-norge-2020;0.777083832850547;0.838655755767245;0.882483128572857;2016;2020;1
