"","IND","ppr","isf","bmb","fgw","bio","lsp","abf"
"1","alien",0,1,0,0,0,0,0
"2","breareal",0,0,0,0,0,0,1
"3","EllLH",0,0,0,0,0,0,1
"4","EllNN",0,0,0,0,0,0,1
"5","fjellindeks",0,0,0,0,1,0,0
"6","fjellrev",0,0,1,1,0,0,0
"7","fjellrype",0,0,1,1,0,0,0
"8","INON",0,0,0,0,0,1,0
"9","jerv",0,0,1,1,0,0,0
"10","kongeørn",0,0,1,1,0,0,0
"11","ndvi",1,0,1,0,0,0,0
"12","snodekke",0,0,0,0,0,0,1
"13","snodybde",0,0,0,0,0,0,1
"14","smaagnagere",0,1,1,1,0,0,0
"15","varmekrav",0,0,0,0,0,0,1
"16","vinterregn",0,0,0,0,0,0,1
