"","IND","are","kli","fef","bes","fre"
"1","alien",1,1,0,0,1
"2","breareal",1,1,0,0,0
"3","EllLHigh",1,1,0,0,0
"4","EllLLow",1,1,0,0,0
"5","EllNHigh",0,1,1,0,0
"6","EllNLow",0,1,1,0,0
"7","fjellindeks",1,1,0,1,0
"8","fjellrev",1,1,0,1,0
"9","fjellrype",0,1,0,1,0
"10","fragmentering",1,0,0,0,0
"11","INON",1,0,0,0,0
"12","jerv",1,0,0,1,0
"13","kongeørn",1,1,0,0,0
"14","lirype",0,1,0,1,0
"15","NDVI_upper",1,1,1,0,0
"16","NDVI_lower",1,1,1,0,0
"17","rein",1,1,0,1,0
"18","snodekke",0,1,0,0,0
"19","snodybde",0,1,0,0,0
"20","smaagnagere",0,1,0,0,0
"21","varmekrav",0,1,0,0,0
"22","vinterregn",0,1,0,0,0
