"","reg","year","val"
"1","N",2019,0.965928447755048
"2","N",2019,0.867295788017306
"3","N",2019,0.856324965836293
"4","N",2019,0.912705930189933
"5","N",2019,0.926363332648451
"6","N",2019,0.986309052192787
"7","N",2019,0.913224662507166
"8","N",2019,0.776147544197266
"9","N",2019,0.845260101796854
"10","N",2019,0.902010398875191
"11","N",2019,0.892663682338475
"12","N",2019,0.976669534758973
"13","N",2019,0.996336608360829
"14","N",2019,0.965019127697604
"15","N",2019,0.859137614489624
"16","N",2019,0.906331184588441
"17","N",2019,0.84838850913228
"18","N",2019,0.92033048929204
"19","N",2019,0.896382115325247
"20","N",2019,0.90411333399158
"21","N",2019,0.955871242851819
"22","N",2019,0.945946331192917
"23","N",2019,0.866724797077421
"24","N",2019,0.901174056117341
"25","N",2019,0.990100405721593
"26","N",2019,0.878094009816311
"27","N",2019,0.88688364243287
"28","N",2019,0.971443874239676
"29","N",2019,0.856086866304844
"30","N",2019,0.887689487534982
"31","N",2019,0.831699665198395
"32","N",2019,0.960322250001357
"33","N",2019,0.829992363724426
"34","N",2019,0.944392852203952
"35","N",2019,0.838882247102238
"36","N",2019,0.935022706269632
"37","N",2019,0.981629824461298
"38","N",2019,0.840043943673175
"39","N",2019,0.91703641743835
"40","N",2019,0.860315126106613
"41","N",2019,0.882693184957203
"42","N",2019,0.913001181834003
"43","N",2019,0.916471526237721
"44","N",2019,0.88822639723662
"45","N",2019,0.85617534816877
"46","N",2019,0.790184269521735
"47","N",2019,0.880351053322319
"48","N",2019,0.872107819545038
"49","N",2019,0.838689152378264
"50","N",2019,0.945314495898861
"51","N",2019,0.922561589596258
"52","N",2019,0.930497358369305
"53","N",2019,0.910554679099173
"54","N",2019,0.936519834914752
"55","N",2019,0.945387445308786
"56","N",2019,0.952150734431163
"57","N",2019,0.921171099163245
"58","N",2019,0.862573840548962
"59","N",2019,0.919907295284149
"60","N",2019,0.91643593857723
"61","N",2019,0.985924172750856
"62","N",2019,0.834348132677478
"63","N",2019,0.947471969641527
"64","N",2019,1
"65","N",2019,0.935402618367309
"66","N",2019,0.892196963851229
"67","N",2019,0.999142671821236
"68","N",2019,0.833409174598399
"69","N",2019,0.926957150052539
"70","N",2019,1
"71","N",2019,0.865465515139961
"72","N",2019,0.900306563656484
"73","N",2019,0.874644001552831
"74","N",2019,0.93313206280266
"75","N",2019,0.842648195239646
"76","N",2019,0.836566543304328
"77","N",2019,0.941318318731836
"78","N",2019,0.860023184962642
"79","N",2019,0.855828545969434
"80","N",2019,0.876462078212441
"81","N",2019,0.894683622118827
"82","N",2019,0.895361206214464
"83","N",2019,0.949951080497432
"84","N",2019,0.840336174748779
"85","N",2019,0.985288836852616
"86","N",2019,0.891660452958046
"87","N",2019,0.851527424944422
"88","N",2019,0.886190826396166
"89","N",2019,0.874044924967479
"90","N",2019,0.95772991630118
"91","N",2019,0.911370784320025
"92","N",2019,0.801650496842526
"93","N",2019,0.929934872306717
"94","N",2019,0.884832455341918
"95","N",2019,0.934375626173343
"96","N",2019,0.966100202471531
"97","N",2019,0.854613258980741
"98","N",2019,0.95905062747289
"99","N",2019,0.988947556370818
"100","N",2019,0.866563961161166
"101","N",2019,0.959134677501883
"102","N",2019,0.923635333633578
"103","N",2019,0.866928000054481
"104","N",2019,0.911374866227939
"105","N",2019,0.878756359361733
"106","N",2019,0.929614810119498
"107","N",2019,0.876690638886747
"108","N",2019,0.889865532127644
