"","X","reg","val"
"1","alien","C",1
"2","breareal","C",1
"3","EllLHigh","C",0.854092526690391
"4","EllLLow","C",0.145907473309609
"5","EllNHigh","C",0.355871886120996
"6","EllNLow","C",0.644128113879004
"7","fjellindeks","C",1
"8","fjellrev","C",1
"9","fjellrype","C",1
"10","fragmentering","C",1
"11","INON","C",1
"12","jerv","C",1
"13","kongeørn","C",1
"14","lirype","C",1
"15","ndvi","C",1
"16","rein","C",1
"17","smaagnagere","C",1
"18","snodekke","C",1
"19","snodybde","C",1
"20","varmekrav","C",1
"21","vinterregn","C",1
"22","alien","E",1
"23","breareal","E",1
"24","EllLHigh","E",0.662468513853904
"25","EllLLow","E",0.337531486146096
"26","EllNHigh","E",0.277078085642317
"27","EllNLow","E",0.722921914357683
"28","fjellindeks","E",1
"29","fjellrev","E",1
"30","fjellrype","E",1
"31","fragmentering","E",1
"32","INON","E",1
"33","jerv","E",1
"34","kongeørn","E",1
"35","lirype","E",1
"36","ndvi","E",1
"37","rein","E",1
"38","smaagnagere","E",1
"39","snodekke","E",1
"40","snodybde","E",1
"41","varmekrav","E",1
"42","vinterregn","E",1
"43","alien","N",1
"44","breareal","N",1
"45","EllLHigh","N",0.809322033898305
"46","EllLLow","N",0.190677966101695
"47","EllNHigh","N",0.276483050847458
"48","EllNLow","N",0.723516949152542
"49","fjellindeks","N",1
"50","fjellrev","N",1
"51","fjellrype","N",1
"52","fragmentering","N",1
"53","INON","N",1
"54","jerv","N",1
"55","kongeørn","N",1
"56","lirype","N",1
"57","ndvi","N",1
"58","rein","N",1
"59","smaagnagere","N",1
"60","snodekke","N",1
"61","snodybde","N",1
"62","varmekrav","N",1
"63","vinterregn","N",1
"64","alien","Norge",1
"65","breareal","Norge",1
"66","EllLHigh","Norge",0.791469194312796
"67","EllLLow","Norge",0.208530805687204
"68","EllNHigh","Norge",0.29594523433386
"69","EllNLow","Norge",0.70405476566614
"70","fjellindeks","Norge",1
"71","fjellrev","Norge",1
"72","fjellrype","Norge",1
"73","fragmentering","Norge",1
"74","INON","Norge",1
"75","jerv","Norge",1
"76","kongeørn","Norge",1
"77","lirype","Norge",1
"78","ndvi","Norge",1
"79","rein","Norge",1
"80","smaagnagere","Norge",1
"81","snodekke","Norge",1
"82","snodybde","Norge",1
"83","varmekrav","Norge",1
"84","vinterregn","Norge",1
"85","alien","S",1
"86","breareal","S",1
"87","EllLHigh","S",0.828571428571429
"88","EllLLow","S",0.171428571428571
"89","EllNHigh","S",0.257142857142857
"90","EllNLow","S",0.742857142857143
"91","fjellindeks","S",1
"92","fjellrev","S",1
"93","fjellrype","S",1
"94","fragmentering","S",1
"95","INON","S",1
"96","jerv","S",1
"97","kongeørn","S",1
"98","lirype","S",1
"99","ndvi","S",1
"100","rein","S",1
"101","smaagnagere","S",1
"102","snodekke","S",1
"103","snodybde","S",1
"104","varmekrav","S",1
"105","vinterregn","S",1
"106","alien","W",1
"107","breareal","W",1
"108","EllLHigh","W",0.859903381642512
"109","EllLLow","W",0.140096618357488
"110","EllNHigh","W",0.352657004830918
"111","EllNLow","W",0.647342995169082
"112","fjellindeks","W",1
"113","fjellrev","W",1
"114","fjellrype","W",1
"115","fragmentering","W",1
"116","INON","W",1
"117","jerv","W",1
"118","kongeørn","W",1
"119","lirype","W",1
"120","ndvi","W",1
"121","rein","W",1
"122","smaagnagere","W",1
"123","snodekke","W",1
"124","snodybde","W",1
"125","varmekrav","W",1
"126","vinterregn","W",1
